;ID;Fecha;Planta;Energia;Limitacion_MW;TiempoLimitacion_Hrs;1;2;3;4;5;6;7;8;9;10;11;12
66;12695;20/01/04;Enerbasa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
67;12696;20/01/04;Fray Lázar;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
68;12697;20/01/04;Nacaome 2;1849;2133;87;;1;0;0;0;0;0;0;0;0;0;0
69;12698;20/01/04;Nacaome 1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
70;12699;20/01/04;Fotersa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
71;12700;20/01/04;Helios;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
72;12701;20/01/04;Lajas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
73;12702;20/01/04;Llanos del Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
74;12703;20/01/04;Mecer;943;870;108;;1;0;0;0;0;0;0;0;0;0;0
75;12704;20/01/04;Marcovia;505;606;83;;1;0;0;0;0;0;0;0;0;0;0
76;12705;20/01/04;Los Pollitos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
77;12706;20/01/04;Prados Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
78;12707;20/01/04;San Marcos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
79;12708;20/01/04;Soposa;2500;3000;83;;1;0;0;0;0;0;0;0;0;0;0
80;12709;20/01/05;Cerro de Hula;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
81;12710;20/01/05;Cinco Estrellas;1603;2046;78;;0;1;0;0;0;0;0;0;0;0;0
82;12711;20/01/05;Cohessa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
83;12712;20/01/05;Chinchayote;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
84;12713;20/01/05;Choluteca 2;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
85;12714;20/01/05;Choluteca 1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
86;12715;20/01/05;Enerbasa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
87;12716;20/01/05;Fray Lázar;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
88;12717;20/01/05;Nacaome 2;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
89;12718;20/01/05;Nacaome 1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
90;12719;20/01/05;Fotersa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
91;12720;20/01/05;Helios;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
92;12721;20/01/05;Lajas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
93;12722;20/01/05;Llanos del Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
94;12723;20/01/05;Mecer;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
95;12724;20/01/05;Marcovia;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
96;12725;20/01/05;Los Pollitos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
97;12726;20/01/05;Prados Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
98;12727;20/01/05;San Marcos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
99;12728;20/01/05;Soposa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
100;12729;20/01/06;Cerro de Hula;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
101;12730;20/01/06;Cinco Estrellas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
102;12731;20/01/06;Cohessa;841;1230;68;;1;0;0;0;0;0;0;0;0;0;0
103;12732;20/01/06;Chinchayote;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
104;12733;20/01/06;Choluteca 2;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
105;12734;20/01/06;Choluteca 1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
106;12735;20/01/06;Enerbasa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
107;12736;20/01/06;Fray Lázar;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
108;12737;20/01/06;Nacaome 2;1295;1850;70;;1;0;0;0;0;0;0;0;0;0;0
109;12738;20/01/06;Nacaome 1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
110;12739;20/01/06;Fotersa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
111;12740;20/01/06;Helios;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
112;12741;20/01/06;Lajas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
113;12742;20/01/06;Llanos del Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
114;12743;20/01/06;Mecer;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
115;12744;20/01/06;Marcovia;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
116;12745;20/01/06;Los Pollitos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
117;12746;20/01/06;Prados Sur;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
118;12747;20/01/06;San Marcos;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
119;12748;20/01/06;Soposa;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
120;12749;20/01/07;Cerro de Hula;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
121;12750;20/01/07;Cinco Estrellas;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
